Name,Description,Address,City,State,Zip,Phone,Website URL,Google Maps URL,Photo URL,Hours,Admission,Price,Age Range,Features,Type,Date Added,Rating,Review Count,Latitude,Longitude,Full Address,Geocoded,Re-Geocode,Logo,Featured
Adventure Island,"Adventure Island is an outdoor water park in Tampa featuring thrill rides, a wave pool, and a lazy river. The facility offers restrooms, on-site dining and bar service, picnic areas, shaded seating, locker and cabana rentals, Wi-Fi, and party services. Wheelchair-accessible entrances, parking, and restrooms are available, with free parking and multiple payment options accepted. The venue provides active-military discounts, live performances, and is designated as LGBTQ+ friendly and a transgender safe space. Advance ticket purchase is recommended.",10001 McKinley Dr,Tampa,Florida,33612,(813) 884-4386,https://adventureisland.com/,"https://www.google.com/maps/place/Adventure+Island/@28.0417018,-82.4130318,14z/data=!4m8!1m2!2m1!1sAdventure+Island!3m4!1s0x88c2c652072b5011:0x7eb9c27b44396933!8m2!3d28.0417018!4d-82.4130318",/static/images/adventure-island-tampa.jpg,,Paid,,"All Ages,Families,Kids","Amusement park,Picnic Area,Restrooms,Shade,Tourist attraction,Water park",Water Park,2/26/2026,4.1,,28.0417018,-82.4130318,,checked,,https://lh4.googleusercontent.com/-akhwQqL7SNM/AAAAAAAAAAI/AAAAAAAAAAA/2Z7HncuKlfk/s44-p-k-no-ns-nd/photo.jpg,
Adventure Reef Water Park,"Adventure Reef is a 3-acre outdoor water park in Kettering that operates from Memorial Day weekend through Labor Day, with the 2026 season opening May 23rd. The facility features Montgomery County's tallest and fastest water slides, a splash pad, and a large interactive water playground with ample deck seating. Daily admission includes discounted rates after 4 p.m., and season passes are available. The park has restrooms, locker rooms, onsite lockers, a first aid station, picnic areas, and permits small coolers; a pool lift is available upon request for accessibility.",2900 Glengarry Dr,Kettering,Ohio,45420,(937) 296-2587,https://www.playkettering.org/adventure-reef-water-park/,"https://www.google.com/maps/place/Adventure+Reef+Water+Park/@39.6953558,-84.1153073,14z/data=!4m8!1m2!2m1!1sAdventure+Reef+Water+Park!3m4!1s0x8840853bb2bb89eb:0x477073115acca855!8m2!3d39.6953558!4d-84.1153073",https://lh3.googleusercontent.com/p/AF1QipOkBXPP77tZaMTh5PhNhrP1kkiQsQRA5w3aM-p7=w800-h500-k-no,,,,"Families,Kids","Picnic Area,Restrooms,Water park",Water Park,2/26/2026,4.1,305.0,39.6953558,-84.1153073,,checked,,https://lh4.googleusercontent.com/-PEQUKMVXLMg/AAAAAAAAAAI/AAAAAAAAAAA/nwwzB_lUt4c/s44-p-k-no-ns-nd/photo.jpg,
Alma Aquatic Park,"Alma Aquatic Center is a large outdoor water facility located within Alma City Park, featuring six slides, a diving board, climbing wall, and a main swimming pool alongside a shallow zero-to-three-foot beach-entry pool and covered wading area. The park also includes a water play zone and on-site snack bar serving food and drinks. The grounds incorporate picnic areas, playgrounds, pavilions, and walking trails, with certified lifeguards on duty throughout operating hours. Pavilion rentals are available during regular hours in two-hour increments, and private event rentals can be arranged outside standard operating times.",731 City Park Rd,Alma,Arkansas,72921,(479) 632-0700,https://www.almaarkansas.gov/waterpark/,"https://www.google.com/maps/place/Alma+Aquatic+Park/@35.494303099999996,-94.2222891,14z/data=!4m8!1m2!2m1!1sAlma+Aquatic+Park!3m4!1s0x87cbc7f799821c49:0xe22cb6db77e47357!8m2!3d35.494303099999996!4d-94.2222891",/static/images/alma-aquatic-park-alma.jpg,Daily: 11AM–6PM,Free,,"Families,Kids","Water park,Hiking area,Tourist attraction",,2/26/2026,4.5,566.0,35.4943031,-94.2222891,,checked,,https://lh5.googleusercontent.com/-oQoy9sAUdqQ/AAAAAAAAAAI/AAAAAAAAAAA/D-c3yJ_fNuk/s44-p-k-no-ns-nd/photo.jpg,
American Dream,"American Dream is an amusement park with water attractions in East Rutherford, New Jersey. It is a paid facility. On-site amenities include restrooms, an arcade, picnic areas, an adjacent playground, and Wi-Fi. It offers wheelchair-accessible entrances, parking, and restrooms. The venue provides paid parking and accepts credit cards, debit cards, and mobile payments. It is open daily.",1 American Dream Wy,East Rutherford,New Jersey,7073,(833) 263-7326,https://www.americandream.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp_website,"https://www.google.com/maps/place/American+Dream/@40.8091292,-74.0685673,14z/data=!4m8!1m2!2m1!1sAmerican+Dream!3m4!1s0x89c2f98d2dc94ddd:0x41e8d13cd9b43e7c!8m2!3d40.8091292!4d-74.0685673",/static/images/american-dream-east-rutherford.jpg,Daily: 11AM–9PM,Paid,,"Families,Kids","Amusement center,Children's amusement center,Event venue,Ice skating rink,Miniature golf course,Picnic Area,Restrooms,Shopping mall,Tourist attraction",Amusement Park,2/26/2026,4.5,,40.8091292,-74.0685673,,checked,,https://lh6.googleusercontent.com/-kPofU5cAYg0/AAAAAAAAAAI/AAAAAAAAAAA/Heg3OckwfIQ/s44-p-k-no-ns-nd/photo.jpg,
Aquaport,"Aquaport is a water park in Maryland Heights, Missouri. On-site attractions include a lazy river and mini golf. On-site amenities include restrooms, an on-site restaurant, picnic areas, lockers, an adjacent playground, and party services. It offers wheelchair-accessible entrances, parking, and restrooms. It accepts credit cards, debit cards, and mobile payments. It features active-military discounts. It is open two days a week, including weekends.",2344 McKelvey Rd,Maryland Heights,Missouri,63043,(314) 738-2599,http://www.marylandheights.com/aquaport,"https://www.google.com/maps/place/Aquaport/@38.725435999999995,-90.446085,14z/data=!4m8!1m2!2m1!1sAquaport!3m4!1s0x87df3208bf5b0321:0x6348282edca03561!8m2!3d38.725435999999995!4d-90.446085",/static/images/aquaport-maryland-heights.jpg,"Sunday: 12–6PM
Monday: Closed
Tuesday: Closed
Wednesday: Closed
Thursday: Closed
Friday: Closed
Saturday: 12–6PM",,,"Families,Kids","Picnic Area,Public swimming pool,Restrooms,Tourist attraction,Water park",Water Park,2/26/2026,4.3,940.0,38.7254360,-90.4460850,,checked,,https://lh4.googleusercontent.com/-IikE5vzyCwk/AAAAAAAAAAI/AAAAAAAAAAA/bZbtY0FrOt8/s44-p-k-no-ns-nd/photo.jpg,
Aquatopia Indoor Waterpark,"Aquatopia Indoor Waterpark operates year-round at a controlled 84 degrees, featuring 13 rides and slides including tube slides, body slides, mat slides, bowl slides, a wave pool, adventure river, kiddie pools, lazy river, and splash zones. The facility includes a toddler interactive area and is located within Camelback Resort in Tannersville, Pennsylvania. Guests can access poolside shops, restaurants, VIP seating, private cabanas, and an adjacent two-level arcade with video games and virtual reality experiences.",193 Resort Dr,Tannersville,Pennsylvania,18372,(570) 629-1665,https://www.camelbackresort.com/aquatopia-indoor-waterpark,"https://www.google.com/maps/place/Aquatopia+Indoor+Waterpark/@41.052867299999996,-75.3456763,14z/data=!4m8!1m2!2m1!1sAquatopia+Indoor+Waterpark!3m4!1s0x89c4f4af0fbf3ce9:0x3ae5e6e15e8f8aa3!8m2!3d41.052867299999996!4d-75.3456763",/static/images/aquatopia-indoor-waterpark-tannersville.jpg,"Sunday: 10AM–8PM
Monday: 10AM–8PM
Tuesday: 10AM–8PM
Wednesday: 10AM–8PM
Thursday: 10AM–8PM
Friday: 10AM–9PM
Saturday: 10AM–9PM",Paid,,"Families,Kids","Picnic Area,Restrooms,Shade,Water park",Resort Water Park,2/26/2026,4.4,5417.0,41.0528673,-75.3456763,,checked,,https://lh6.googleusercontent.com/-6J6GPCIBO88/AAAAAAAAAAI/AAAAAAAAAAA/7YYYSbwlsMs/s44-p-k-no-ns-nd/photo.jpg,
Asbury Splash Park,"Asbury Splash Park sits on the Asbury Park boardwalk and features water spray elements ranging from gentle to vigorous, including a tipping teacup attraction, designed for children ages 18 months through 12 years. The fenced park operates Saturdays and Sundays from 10am to 7pm starting May 30 through the summer school break. Admission is $15 for children 15 and under, $8 for adults, or $42 for a family pass covering two adults and two children. The venue offers group rates for 10+ children, birthday party packages with private deck rental and party privileges, and is steps away from the beach and other boardwalk activities.",950 Ocean Ave,Asbury Park,New Jersey,7712,(732) 897-6538,http://asburyparkamusements.com/,"https://www.google.com/maps/place/Asbury+Splash+Park/@40.2201716,-74.0001115,14z/data=!4m8!1m2!2m1!1sAsbury+Splash+Park!3m4!1s0x89c226421eac8f2f:0x2d077ece59b5337e!8m2!3d40.2201716!4d-74.0001115",/static/images/asbury-splash-park-asbury-park.jpg,,Free,,"Families,Kids","Water park,Amusement park,Tourist attraction",,2/26/2026,4.3,637.0,40.2201716,-74.0001115,,checked,,https://lh3.googleusercontent.com/-RQXs4UmY1Mk/AAAAAAAAAAI/AAAAAAAAAAA/SmwrL4oCKQY/s44-p-k-no-ns-nd/photo.jpg,
Atlantis Waterpark at Bull Run,"Atlantis Waterpark sits within Bull Run Regional Park and features two waterslides—a 230-foot open slide and a 170-foot enclosed slide—along with a main swimming pool, baby pool, and a sand play area. The park's signature attraction is a 500-gallon dumping bucket that anchors an interactive water play structure with covered and open slides, water cannons, and sprayers. Admission is free, and the facility includes a snack bar called Neptune's Reef with outdoor seating under shade umbrellas, plus restrooms and picnic areas throughout the grounds.",7700 Bull Run Dr,Centreville,Virginia,20121,(703) 631-0552,https://www.novaparks.com/waterparks/atlantis-waterpark,"https://www.google.com/maps/place/Atlantis+Waterpark+at+Bull+Run/@38.802445,-77.4776297,14z/data=!4m8!1m2!2m1!1sAtlantis+Waterpark+at+Bull+Run!3m4!1s0x89b65caf112b7337:0xeffb2b785d79c807!8m2!3d38.802445!4d-77.4776297",/static/images/atlantis-waterpark-at-bull-run-centreville.jpg,,Free,,"Families,Kids","Picnic Area,Restrooms,Tourist attraction,Water park",Water Park,2/26/2026,4.3,560.0,38.8024450,-77.4776297,,checked,,https://lh4.googleusercontent.com/-HIxiShQOJIY/AAAAAAAAAAI/AAAAAAAAAAA/mmA_hJqCpMo/s44-p-k-no-ns-nd/photo.jpg,
Bahama Beach Waterpark,"Bahama Beach Waterpark sits just south of downtown Dallas and features a mix of water slides and play areas for different ages and thrill levels. Attractions include 45-foot enclosed tube slides (Riptide Slide and Bahama Bullet), a body slide trio (Bermuda Triangle), a boomerang slide, a lazy river with two zero-depth entry beaches, an interactive rain fortress playground with a 1,000-gallon dumping bucket (Coconut Cove), a 300-foot mat racing slide (Tortuga Express), and a shallow splash pad for young children (Lil Paco's Splash Pad). The park offers shaded seating areas, picnic spaces, reservable private cabanas, restrooms, a concession stand with food and drink options, and a gift shop. Open Saturdays 10:30 AM–6 PM and Sundays 12–6 PM with paid admission.",1895 Campfire Cir,Dallas,Texas,75232,(214) 671-0820,https://www.bahamabeachdallas.com/,"https://www.google.com/maps/place/Bahama+Beach+Waterpark/@32.683205,-96.853034,14z/data=!4m8!1m2!2m1!1sBahama+Beach+Waterpark!3m4!1s0x864e90c3d57ae087:0xdb405545f5d653a2!8m2!3d32.683205!4d-96.853034",/static/images/bahama-beach-waterpark-dallas.jpg,"Sunday: 12–6PM
Monday: Closed
Tuesday: Closed
Wednesday: Closed
Thursday: Closed
Friday: Closed
Saturday: 10:30AM–6PM",Paid,,"Families,Kids","Picnic Area,Restrooms,Tourist attraction,Water park",Water Park,2/26/2026,4.4,1451.0,32.6832050,-96.8530340,,checked,,https://lh4.googleusercontent.com/-usHZ9Ug-1dE/AAAAAAAAAAI/AAAAAAAAAAA/0uB6TfqvrLY/s44-p-k-no-ns-nd/photo.jpg,
Bavarian Blast Waterpark,"Bavarian Blast is an indoor waterpark in Frankenmuth featuring 16 waterslides ranging from gentle options for toddlers to multi-rider tube slides, plus a lazy river, a three-story ropes course with 25 obstacles reaching 45 feet high, laser tag arena, rock climbing walls, and mini bowling. The facility maintains a tropical environment year-round at 80 degrees with glass walls and ceiling for natural light. Additional amenities include a swim-up bar for adults, private cabanas, and dining options on-site. Day passes are available, and the park is open 10 AM–8 PM Sunday through Thursday, extending to 9 PM on Friday and Saturday.",700 Weiss St,Frankenmuth,Michigan,48734,(989) 652-7200,https://www.bavarianinn.com/bavarian-blast-indoor-waterpark/,"https://www.google.com/maps/place/Bavarian+Blast+Waterpark/@43.3265269,-83.736756,14z/data=!4m8!1m2!2m1!1sBavarian+Blast+Waterpark!3m4!1s0x8823f3f179e600f9:0xa41a3e7c9b49c1e2!8m2!3d43.3265269!4d-83.736756",/static/images/bavarian-blast-waterpark-frankenmuth.jpg,"Sunday: 10AM–8PM
Monday: 10AM–8PM
Tuesday: 10AM–8PM
Wednesday: 10AM–8PM
Thursday: 10AM–8PM
Friday: 10AM–9PM
Saturday: 10AM–9PM",Paid,,"Families,Kids","Picnic Area,Restrooms,Water park",Water Park,2/26/2026,3.8,393.0,43.3265269,-83.7367560,,checked,,https://lh3.googleusercontent.com/-V7gl2D_cK5I/AAAAAAAAAAI/AAAAAAAAAAA/Ub6kmCxJfD4/s44-p-k-no-ns-nd/photo.jpg,
